click_id,is_attributed
1,0.002989281
8,0.002203010
25,0.884048644
37,0.040584765
46,0.012246064
65,0.009862996
105,0.053365185
132,0.004234555
134,0.158941554
147,0.028365419
158,0.005205629
175,0.008642333
181,0.037640994
200,0.005819791
210,0.113631590
246,0.002850145
251,0.004245985
257,0.378059078
260,0.004245985
261,0.003240974
263,0.002689305
276,0.054875304
284,0.002180686
293,0.008149474
304,0.021634735
306,0.002970938
312,0.005868910
324,0.002873770
354,0.071709863
357,0.072699165
362,0.002873770
374,0.003952129
377,0.002854503
385,0.002855132
404,0.002555000
412,0.009432782
434,0.002940926
444,0.002916750
452,0.002918398
460,0.002543522
467,0.002352938
480,0.002138989
481,0.002940926
506,0.002918398
534,0.003012653
538,0.002565061
542,0.002941440
543,0.003788963
546,0.002881235
549,0.028925150
580,0.003474322
582,0.001989932
598,0.002755469
605,0.002926484
608,0.001969044
627,0.002777838
644,0.012108891
650,0.002881235
664,0.001808604
690,0.002916750
696,0.002748040
730,0.002565837
747,0.002940926
754,0.002924633
793,0.004919343
796,0.002154118
798,0.002534233
837,0.002660384
878,0.002047386
884,0.005547354
885,0.005969621
889,0.002941440
898,0.002550399
963,0.002511616
967,0.002754518
985,0.002940926
996,0.002940926
1001,0.002047386
1003,0.002941440
1011,0.048920939
1015,0.004605354
1052,0.002565061
1057,0.002352226
1061,0.002138989
1072,0.002924633
1087,0.002941440
1111,0.003544043
1138,0.002923212
1159,0.002925974
1161,0.002138989
1191,0.002942329
1198,0.003844178
1209,0.002543522
1247,0.002941440
1252,0.001819038
1251,0.002138989
1255,0.002352226
1269,0.003689803
1297,0.002774731
1300,0.004603533
1310,0.002917632
1325,0.002564613
1339,0.001863182
1341,0.002916750
1354,0.005547354
1357,0.002564613
1380,0.002940926
1383,0.002924633
1386,0.002941440
1388,0.002464829
1389,0.003071662
1393,0.002777838
1401,0.002916750
1412,0.002511616
1424,0.002916750
1435,0.002916750
1439,0.002881235
1447,0.002659580
1477,0.002543522
1492,0.002660384
1493,0.002139362
1494,0.002916750
1509,0.002047386
1517,0.002511616
1539,0.002941440
1555,0.014757850
1556,0.002121391
1563,0.002549689
1567,0.002916750
1591,0.002700707
1600,0.001811886
1607,0.002940926
1615,0.002942329
1618,0.002659580
1629,0.002925974
1633,0.001924105
1638,0.002941440
1639,0.001924105
1648,0.002881235
1668,0.002916750
1684,0.002621565
1689,0.002544291
1691,0.002916750
1698,0.002352226
1701,0.014489896
1704,0.002411369
1728,0.002916750
1729,0.002009292
1742,0.002916750
1753,0.002935979
1756,0.002154118
1773,0.002916750
1774,0.002352226
1789,0.002511616
1794,0.002700707
1811,0.002352226
1817,0.002916750
1821,0.002941440
1827,0.002703218
1846,0.002918398
1853,0.005516083
1856,0.002940926
1867,0.014948738
1871,0.002916750
1900,0.003889435
1904,0.002941816
1930,0.002940926
1935,0.002411369
1960,0.002777838
1961,0.052082716
1964,0.002352226
1965,0.002916750
1978,0.002940926
1985,0.002941440
1991,0.002511616
1995,0.003473716
2006,0.002881235
2016,0.191073927
2021,0.047518090
2023,0.006320012
2022,0.002938151
2032,0.003445175
2036,0.002863303
2042,0.002924633
2045,0.006545653
2050,0.002916750
2053,0.003280607
2058,0.014489896
2061,0.003445175
2062,0.002916750
2084,0.002511616
2096,0.002411369
2114,0.002940926
2120,0.026996854
2122,0.002511616
2136,0.002916750
2135,0.002916750
2138,0.002940926
2146,0.002917632
2144,0.012493534
2149,0.002699890
2159,0.002941440
2165,0.002924633
2185,0.002940926
2206,0.002940926
2208,0.002543522
2226,0.013379916
2227,0.002762877
2228,0.002941440
2241,0.002412098
2270,0.002774731
2282,0.002941440
2289,0.001808604
2291,0.002940926
2292,0.002938151
2296,0.002917632
2306,0.002550399
2341,0.002916750
2345,0.001993713
2352,0.002940926
2362,0.002881235
2381,0.002659580
2385,0.003380776
2393,0.001813847
2399,0.005295246
2407,0.002940926
2418,0.002924633
2420,0.002941440
2457,0.002941440
2475,0.002940926
2491,0.003568452
2508,0.002941440
2531,0.005766668
2540,0.002564613
2553,0.002543522
2561,0.002940926
2571,0.002411369
2579,0.002916750
2598,0.002660384
2617,0.002916750
2620,0.003445175
2621,0.244014757
2639,0.002660384
2641,0.002881235
2650,0.002940926
2658,0.002941440
2662,0.002905117
2677,0.009381986
2687,0.002754518
2705,0.002916750
2721,0.002552014
2726,0.002564613
2732,0.002940926
2737,0.002905117
2742,0.002924633
2743,0.002777838
2764,0.002564613
2783,0.002940926
2806,0.002881235
2811,0.002916750
2816,0.002916750
2827,0.002938151
2845,0.002747088
2855,0.002659580
2887,0.002006442
2888,0.002924633
2889,0.002756075
2900,0.001993713
2901,0.002659580
2918,0.002154118
2929,0.002543522
2930,0.002924633
2938,0.002543522
2964,0.002916750
2966,0.012970049
2967,0.002942329
2972,0.001421540
2976,0.002925434
2978,0.002941440
2982,0.002916750
2984,0.002940926
2992,0.018631902
2996,0.001955528
3014,0.002941440
3015,0.002564613
3034,0.002940926
3038,0.002121391
3041,0.002940926
3064,0.002659580
3065,0.002916750
3066,0.002564613
3085,0.002940926
3095,0.002411369
3108,0.002412098
3117,0.002941440
3129,0.002564613
3140,0.002941440
3144,0.002924633
3148,0.005547354
3164,0.233068616
3173,0.002941440
3208,0.002103531
3216,0.002916750
3249,0.002916750
3252,0.002660384
3297,0.002941440
3316,0.031975190
3321,0.002660384
3339,0.002121391
3368,0.002916750
3388,0.002534233
3412,0.002564613
3437,0.002917632
3450,0.002685178
3452,0.002916750
3457,0.002942329
3465,0.002138989
3488,0.004705140
3508,0.002564613
3512,0.002916750
3526,0.002138989
3536,0.002881235
3548,0.002925518
3552,0.002940926
3567,0.002941440
3573,0.002940926
3590,0.005165374
3600,0.004770279
3605,0.002889472
3626,0.002777838
3630,0.002564613
3639,0.002916750
3641,0.002271352
3642,0.002916750
3648,0.002659580
3652,0.002940926
3651,0.002496897
3655,0.002660384
3672,0.001655920
3681,0.001655920
3696,0.006545653
3713,0.011313339
3722,0.002562191
3730,0.002917632
3738,0.006320012
3761,0.087047957
3783,0.002139362
3789,0.002940926
3811,0.001905795
3826,0.001993713
3831,0.002881235
3861,0.002940926
3874,0.002047386
3881,0.001474434
3892,0.005996270
3893,0.002916750
3900,0.002941440
3906,0.002541834
3907,0.001960290
3914,0.009458360
3918,0.002941440
3936,0.002940926
3939,0.002774731
3940,0.002139362
3961,0.007781934
3963,0.007119974
3981,0.002346220
4024,0.006545653
4025,0.012970049
4065,0.002916750
4105,0.002511616
4107,0.004559874
4131,0.002940926
4133,0.002881235
4148,0.004171532
4150,0.002755469
4165,0.002916750
4166,0.002916750
4169,0.002419296
4186,0.002940926
4209,0.002941440
4229,0.002916750
4238,0.012373917
4240,0.003004533
4250,0.011337306
4254,0.002905117
4253,0.002916750
4258,0.003029435
4259,0.096978315
4271,0.002009229
4314,0.002916750
4318,0.002916750
4319,0.007491735
4323,0.002699890
4337,0.002916750
4338,0.002564613
4340,0.002881235
4346,0.002940926
4348,0.002121391
4356,0.002940926
4358,0.002916750
4359,0.006545653
4384,0.002940926
4403,0.002924633
4406,0.037279102
4408,0.002935979
4419,0.028925150
4428,0.002916750
4443,0.002924633
4445,0.002916750
4449,0.002916750
4457,0.012970049
4472,0.013292601
4497,0.002905117
4502,0.002006442
4503,0.001308186
4511,0.002565837
4518,0.002940926
4530,0.003445175
4534,0.013292601
4541,0.003445175
4557,0.007781934
4558,0.002916750
4559,0.002941440
4566,0.004737804
4584,0.002543522
4603,0.002940926
4615,0.012970049
4616,0.001953436
4619,0.005501870
4622,0.006545653
4649,0.002863303
4654,0.012970049
4659,0.002917632
4666,0.003094690
4679,0.002905117
4736,0.002916750
4738,0.002941440
4749,0.002916750
4758,0.002916750
4761,0.002352938
4763,0.002543522
4780,0.002940926
4786,0.004561208
4795,0.002916750
4804,0.018188211
4811,0.012970049
4845,0.002941440
4856,0.003474322
4857,0.002940926
4873,0.002660384
4905,0.008414551
4915,0.002659580
4927,0.004523772
4929,0.002916750
4942,0.002941440
4948,0.002941440
4980,0.004573758
4989,0.012152224
5000,0.002863303
5003,0.002511616
5007,0.002511616
5052,0.002534233
5053,0.138622347
5055,0.006320012
5079,0.002660384
5095,0.002916750
5104,0.002136968
5113,0.012970049
5114,0.002941440
5123,0.018987393
5126,0.004523772
5132,0.002916750
5136,0.001828898
5139,0.002544291
5144,0.002941440
5145,0.002544291
5152,0.012152224
5167,0.002916750
5168,0.002756075
5187,0.002916750
5193,0.002940926
5198,0.002916750
5201,0.002916750
5210,0.012970049
5217,0.002756075
5229,0.002511616
5242,0.006545653
5248,0.031146363
5250,0.002916750
5254,0.002916750
5266,0.001474434
5277,0.002916750
5297,0.002916750
5301,0.002935979
5315,0.018987393
5326,0.012970049
5339,0.002018142
5349,0.001724404
5353,0.002942329
5364,0.002916750
5370,0.012970049
5385,0.002916750
5396,0.012363261
5403,0.004008499
5408,0.002564613
5412,0.002916750
5427,0.002916750
5448,0.002916750
